species,aut,chrX,CV_aut,CV_x,Autosomal Pi per base,ChrX Pi per base,X_a_ratio,X/A ratio,binomial_name,Strategy_count,Monogamous_strategy,Polygynous_strategy,Polygynandrous_strategy,Polyandrous_strategy,Binomial name,imputed_body,imputed_testes,log_body,log_testes,testes_residual
Allenopithecus_nigroviridis_ssp,138.04957897069414,76.07205845301083,0.42967562112682356,0.8425479152290398,0.0013804957897069414,0.0007607205845301082,0.551048826227567,0.551048826227567,Allenopithecus_nigroviridis,1.0,0.0,0.0,1.0,0.0,Allenopithecus nigroviridis,6130.0,16.96,8.720950028930258,2.830857630363757,0.3499951357596771
Allochrocebus_lhoesti_ssp,271.2446625094048,98.28991712707182,0.5120985009698082,0.921960924777576,0.002712446625094048,0.000982899171270718,0.3623662719028207,0.3623662719028207,Allochrocebus_lhoesti,3.0,0.0,1.0,0.0,0.0,Allochrocebus lhoesti,5620.556590540564,9.222907521492889,8.634185975446584,2.2216903372590298,-0.20426932291216904
Allochrocebus_preussi_ssp,264.8506645218124,105.87612456747405,0.698784027180309,0.9590029532170253,0.002648506645218124,0.0010587612456747406,0.39975782110508684,0.39975782110508684,Allochrocebus_preussi,1.0,0.0,1.0,0.0,0.0,Allochrocebus preussi,5620.556590540564,9.222907521492889,8.634185975446584,2.2216903372590298,-0.20426932291216904
Alouatta_belzebul_ssp,510.1693783288948,366.218989280245,0.266828554995135,0.2682744856065481,0.0051016937832889485,0.00366218989280245,0.7178380452386772,0.7178380452386772,Alouatta_belzebul,1.0,0.0,1.0,0.0,0.0,Alouatta belzebul,7444.540712464123,13.336266617166194,8.915236252478303,2.5904871375376564,-0.013316413134712324
Alouatta_discolor_ssp,206.42969790279628,108.08673338465485,0.6049361355610321,0.623321480528948,0.0020642969790279626,0.0010808673338465484,0.5236006954558969,0.5236006954558969,Alouatta_discolor,1.0,0.0,1.0,0.0,0.0,Alouatta discolor,7444.540712464123,13.336266617166194,8.915236252478303,2.5904871375376564,-0.013316413134712324
Alouatta_juara_ssp,200.70527820571542,108.63522494887526,0.5616809478282887,0.6256525719980296,0.0020070527820571543,0.0010863522494887526,0.5412674042260524,0.5412674042260524,Alouatta_juara,0.0,,,,,Alouatta juara,7237.296925062431,10.533900427627547,8.887003062774289,2.3545986685414464,-0.23133939432123407
Alouatta_macconnelli_ssp,200.94274863539644,110.93345912637643,0.495992139661051,0.5188226490774088,0.0020094274863539643,0.0011093345912637643,0.5520650029907836,0.5520650029907836,Alouatta_macconnelli,1.0,0.0,1.0,0.0,0.0,Alouatta macconnelli,7399.60644396465,12.51611632017035,8.909182094529962,2.5270171194811186,-0.07295546181946033
Alouatta_palliata_ssp,34.149022699921154,20.06441717791411,2.6137733170188757,2.4997640135764296,0.00034149022699921154,0.00020064417177914108,0.5875546528586435,0.5875546528586435,Alouatta_palliata,4.0,0.0,0.5,0.5,0.0,Alouatta palliata,7150.0,25.27,8.874867635688053,3.2296179214001026,0.6513589527859782
Alouatta_seniculus_ssp,299.8238021430716,203.3257791001806,0.34701906494092893,0.32908013963967175,0.002998238021430716,0.002033257791001806,0.6781508927805421,0.6781508927805421,Alouatta_seniculus,4.0,0.0,0.75,0.25,0.0,Alouatta seniculus,6690.0,3.85,8.808369153122273,1.3480731482996928,-1.1881066984689554
Aotus_azarai_ssp,153.6066843611401,70.52819836722885,0.5896604939342164,0.7595617060527943,0.0015360668436114012,0.0007052819836722886,0.4591479769292598,0.4591479769292598,Aotus_azarai,,,,,,Aotus azarai,880.895,0.85,6.780938436086473,-0.16251892949777494,-1.4157747021566147
