binomial_name	testes_mass_avg	body_mass_avg	residuals
Aotus_lemurinus	0.5	895.48	-2.9101
Pithecia_pithecia	0.92	1940	-2.7275
Colobus_guereza	3.21	9963.78	-2.4002
Gorilla_gorilla	19.64	171189.33	-2.3514
Trachypithecus_francoisi	3.98	7700	-1.8575
Presbytis_rubicunda	3.6	6294.12	-1.8205
Eulemur_rubriventer	1.84	2145.86	-1.8185
Alouatta_seniculus	3.85	6690	-1.7787
Gorilla_beringei	28.96	162500	-1.7441
Callibella_humilis	0.34	124.2	-1.6852
Cercopithecus_ascanius	3	3822.67	-1.6339
Cebuella_pygmaea	0.33	110	-1.6188
Aotus_trivirgatus	1.2	866.31	-1.6172
Erythrocebus_patas	7.2	12400	-1.432
Pygathrix_nemaeus	6.9	11000	-1.3853
Trachypithecus_obscurus	5.82	7765.83	-1.317
Propithecus_verreauxi	3.16	2896.61	-1.3088
Hylobates_moloch	5.7	6578.5	-1.1974
Phaner_furcifer	0.88	328	-1.1889
Hylobates_lar	5.5	5773.08	-1.1312
Cheirogaleus_medius	0.65	188.77	-1.1278
Leontopithecus_rosalia	1.48	663	-1.0735
Trachypithecus_cristatus	6.3	6659.39	-1.064
Avahi_laniger	2.09	1075.6	-1.0119
Galago_moholi	0.7	182.58	-0.9908
Hylobates_agilis	6.32	5850	-0.9426
Callithrix_penicillata	1.08	344	-0.9364
Semnopithecus_entellus	11.1	13831.27	-0.906
Hapalemur_griseus	2.18	1014.97	-0.8987
Pongo_abelii	34.87	81661.71	-0.8557
Nasalis_larvatus	14.7	20171.67	-0.841
Pongo_pygmaeus	34.97	79715.85	-0.8299
Cercopithecus_wolfi	5.35	3910	-0.8197
Eulemur_mongoz	2.93	1490.11	-0.8184
Symphalangus_syndactylus	11.95	11851.54	-0.6602
Callithrix_jacchus	1.3	322.06	-0.6095
Cacajao_calvus	5.8	3450	-0.5903
Alouatta_pigra	12.46	11400	-0.5649
Propithecus_edwardsi	8	5502.9	-0.5474
Saguinus_midas	1.83	515	-0.5394
Alouatta_guariba	9.13	6265	-0.4737
Colobus_polykomos	12.2	9900	-0.4681
Sapajus_apella	6.87	3557.92	-0.3738
Otolemur_crassicaudatus	3.77	1304.1	-0.3345
Callithrix_geoffroyi	1.55	308	-0.3155
Lagothrix_lagothricha	11.2	7280	-0.3143
Theropithecus_gelada	21.5	19000	-0.2385
Saimiri_collinsi	3.24	912.67	-0.2313
Saimiri_sciureus	3.2	852.67	-0.1879
Sciurocheirus_alleni	1.62	277.7	-0.1584
Mico_argentatus	1.83	330	-0.1381
Cheirogaleus_major	2.3	472	-0.131
Ateles_geoffroyi	13.4	7780	-0.1155
Nycticebus_coucang	3.15	749.52	-0.0943
Lophocebus_aterrimus	13.78	7840	-0.0821
Miopithecus_talapoin	5.2	1380	0.0784
Galago_senegalensis	1.66	211.8	0.1211
Lepilemur_leucopus	3.19	543	0.2145
Galagoides_demidoff	0.92	65.97	0.3215
Loris_tardigradus	1.82	188	0.3613
Eulemur_coronatus	7.24	1699.68	0.368
Allenopithecus_nigroviridis	16.96	6130	0.4394
Cercocebus_atys	25.1	11000	0.4777
Saguinus_oedipus	3.3	417.54	0.5003
Mandrillus_leucophaeus	36.4	19416.67	0.5015
Alouatta_caraya	18.37	6426.77	0.512
Rhinopithecus_roxellana	35.64	17900	0.5444
Leontocebus_nigricollis	3.8	468	0.601
Cercocebus_torquatus	25.1	9470	0.6127
Varecia_variegata	13.85	3564.84	0.6359
Nycticebus_pygmaeus	4.25	487.82	0.7251
Otolemur_garnettii	6.08	840.41	0.7512
Perodicticus_potto	6.61	838.55	0.8738
Alouatta_palliata	25.27	7150	0.8759
Mandrillus_sphinx	65.72	32377.78	0.8928
Chlorocebus_aethiops	20.6	4283.33	1.0431
Papio_ursinus	69.76	29475.86	1.0636
Papio_kindae	51.84	16600	1.153
Papio_hamadryas	58.02	18462.06	1.2196
Microcebus_murinus	1.77	67.01	1.2514
Eulemur_macaco	16.95	2290.19	1.3263
Papio_cynocephalus	71.46	22662.31	1.3353
Macaca_arctoides	48.15	11988.75	1.3399
Lemur_catta	18.25	2466.22	1.3662
Papio_papio	74.64	23446.25	1.3675
Carlito_syrichta	3.08	134	1.4257
Macaca_silenus	42	8705.83	1.4313
Microcebus_berthae	1.25	31	1.4447
Macaca_mulatta	46.01	9639.54	1.471
Eulemur_fulvus	19.34	2204.8	1.5509
Microcebus_myoxinus	1.38	30.98	1.588
Macaca_fascicularis	35.22	5096.11	1.6602
Macaca_radiata	45.27	6574.57	1.7927
Pan_troglodytes	155.52	46174.48	1.8154
Pan_paniscus	156.87	45368.75	1.8438
Macaca_nemestrina	66.7	11143.84	1.876
Mirza_coquereli	7.22	308	1.9043
Papio_anubis	108.88	22506.97	1.9491
Macaca_fuscata	72.3	10970	2.0064
Ateles_paniscus	64.23	8860	2.0283
Eulemur_cinereiceps	27.23	2029.54	2.1192
Mirza_zaza	8.52	293.53	2.1865
Brachyteles_arachnoides	78.35	9610	2.2417
