,index,species,aut,chrX,CV_aut,Autosomal Pi per base,ChrX Pi per base,X_a_ratio,X/A ratio,binomial_name,strategy,Binomial name
0,0,Allenopithecus_nigroviridis_ssp,137.98245869372366,75.95331819328791,0.42967562112682356,0.0013798245869372366,0.0007595331819328791,0.5504563327276235,0.5504563327276235,Allenopithecus_nigroviridis,Polygynandrous,Allenopithecus nigroviridis
1,1,Allochrocebus_lhoesti_ssp,270.54548840096203,95.8793420416062,0.5157768197436616,0.00270545488400962,0.000958793420416062,0.3543926849724738,0.3543926849724738,Allochrocebus_lhoesti,Polygynous,Allochrocebus lhoesti
2,2,Allochrocebus_preussi_ssp,264.11102024922116,103.44452554744525,0.7013313761649459,0.0026411102024922117,0.0010344452554744525,0.39167061431148403,0.39167061431148403,Allochrocebus_preussi,Polygynous,Allochrocebus preussi
3,4,Alouatta_belzebul_ssp,514.4660598158522,372.814072693383,0.266828554995135,0.0051446605981585215,0.0037281407269338304,0.7246621338379989,0.7246621338379989,Alouatta_belzebul,Polygynous,Alouatta belzebul
4,6,Alouatta_discolor_ssp,203.0270113801773,107.54280879864636,0.6049361355610321,0.002030270113801773,0.0010754280879864636,0.5296970490161409,0.5296970490161409,Alouatta_discolor,Polygynous,Alouatta discolor
5,7,Alouatta_juara_ssp,199.4703123725634,107.60855370551747,0.5616809478282887,0.001994703123725634,0.0010760855370551747,0.5394715254896183,0.5394715254896183,Alouatta_juara,,Alouatta juara
6,8,Alouatta_macconnelli_ssp,198.96615447577656,110.40968526856778,0.495992139661051,0.0019896615447577656,0.0011040968526856779,0.5549169182038435,0.5549169182038435,Alouatta_macconnelli,Polygynous,Alouatta macconnelli
7,9,Alouatta_palliata_ssp,24.490847580499004,16.17554858934169,2.6137733170188757,0.00024490847580499003,0.00016175548589341692,0.6604732047828993,0.6604732047828993,Alouatta_palliata,,Alouatta palliata
8,10,Alouatta_seniculus_ssp,300.14717733772875,204.83369209211335,0.34701906494092893,0.0030014717733772875,0.0020483369209211336,0.6824441725854791,0.6824441725854791,Alouatta_seniculus,,Alouatta seniculus
9,11,Aotus_azarai_ssp,153.61583840196437,70.31147454123085,0.5934288864029081,0.0015361583840196437,0.0007031147454123085,0.45770979915005783,0.45770979915005783,Aotus_azarai,,Aotus azarai
10,12,Aotus_griseimembra_ssp,152.587847832305,124.39018087855298,0.5811459025162456,0.0015258784783230498,0.0012439018087855298,0.8152037180264747,0.8152037180264747,Aotus_griseimembra,Monogamous,Aotus griseimembra
11,13,Aotus_nancymaae_ssp,456.07944995003123,278.8496757880336,0.49213975485131095,0.004560794499500313,0.002788496757880336,0.6114059202154029,0.6114059202154029,Aotus_nancymaae,,Aotus nancymaae
12,14,Aotus_trivirgatus_ssp,108.71719069007759,39.80292532717475,1.2845335759518934,0.0010871719069007759,0.0003980292532717475,0.36611436585628665,0.36611436585628665,Aotus_trivirgatus,Monogamous,Aotus trivirgatus
13,15,Aotus_vociferans_ssp,328.38328440167453,186.34573643410852,0.42753500275290485,0.0032838328440167454,0.001863457364341085,0.5674641350080798,0.5674641350080798,Aotus_vociferans,Monogamous,Aotus vociferans
14,16,Arctocebus_calabarensis_ssp,87.58904109589041,61.09090909090909,0.8882450934525076,0.0008758904109589041,0.0006109090909090909,0.6974720618761908,0.6974720618761908,Arctocebus_calabarensis,Polygynous,Arctocebus calabarensis
15,17,Ateles_belzebuth_ssp,266.72110380717606,160.5892230576441,0.47187812367333654,0.0026672110380717606,0.001605892230576441,0.6020866769273001,0.6020866769273001,Ateles_belzebuth,Polygynandrous,Ateles belzebuth
16,18,Ateles_chamek_ssp,282.4793842906926,167.10324966991632,0.35047994180401615,0.002824793842906926,0.0016710324966991632,0.5915590976294202,0.5915590976294202,Ateles_chamek,Polygynandrous,Ateles chamek
17,19,Ateles_geoffroyi_ssp,211.19973637961334,131.71824561403508,0.41776718413847974,0.0021119973637961334,0.0013171824561403508,0.6236667141349215,0.6236667141349215,Ateles_geoffroyi,Polygynandrous,Ateles geoffroyi
18,20,Ateles_marginatus_ssp,177.67524947640754,109.28873771730915,0.6862427237654646,0.0017767524947640753,0.0010928873771730914,0.6151038934200059,0.6151038934200059,Ateles_marginatus,Polygynous,Ateles marginatus
19,21,Ateles_paniscus_ssp,105.33686498793065,63.490839694656486,0.5546976699636843,0.0010533686498793065,0.0006349083969465648,0.6027409274229983,0.6027409274229983,Ateles_paniscus,Polygynandrous,Ateles paniscus
20,23,Avahi_peyrierasi_ssp,245.51856340200507,126.98167539267016,0.6486201239417752,0.002455185634020051,0.0012698167539267015,0.5171978592297072,0.5171978592297072,Avahi_peyrierasi,Monogamous,Avahi peyrierasi
21,24,Brachyteles_hypoxanthus_ssp,316.34790758500435,192.03577371048252,0.5283608508338898,0.0031634790758500436,0.0019203577371048252,0.607039809987937,0.607039809987937,Brachyteles_hypoxanthus,Polygynandrous,Brachyteles hypoxanthus
22,25,Cacajao_ayresi_ssp,53.55050167720485,41.4116341991342,1.0197705145273945,0.0005355050167720485,0.000414116341991342,0.7733192575628498,0.7733192575628498,Cacajao_ayresi,,Cacajao ayresi
23,26,Cacajao_calvus_ssp,140.42984390440122,117.56140113903646,0.37435959638159144,0.0014042984390440123,0.0011756140113903645,0.8371539686326744,0.8371539686326744,Cacajao_calvus,,Cacajao calvus
24,27,Cacajao_hosomi_ssp,81.20301841366089,49.17603305785124,0.8604587951422583,0.0008120301841366089,0.0004917603305785124,0.6055936591832194,0.6055936591832194,Cacajao_hosomi,,Cacajao hosomi
25,28,Cacajao_melanocephalus_ssp,91.54254624268876,68.9007839956745,0.6603051522483441,0.0009154254624268876,0.000689007839956745,0.7526640542968009,0.7526640542968009,Cacajao_melanocephalus,Monogamous,Cacajao melanocephalus
26,29,Callimico_goeldii_ssp,100.66204202392751,49.032854482575154,0.5681102995249118,0.0010066204202392752,0.0004903285448257515,0.48710371354199206,0.48710371354199206,Callimico_goeldii,Monogamous,Callimico goeldii
27,31,Callithrix_jacchus_ssp,122.46712825725253,40.607185322912,0.69402422794334,0.0012246712825725252,0.00040607185322912004,0.3315762025350442,0.3315762025350442,Callithrix_jacchus,,Callithrix jacchus
28,34,Cebuella_niveiventris_ssp,173.81690355801516,132.00631911532386,0.4048915183635379,0.0017381690355801516,0.0013200631911532386,0.759456165730532,0.759456165730532,Cebuella_niveiventris,Monogamous,Cebuella niveiventris
29,35,Cebuella_pygmaea_ssp,169.4285355039375,110.90188383045526,0.4192814809905369,0.0016942853550393749,0.0011090188383045525,0.6545643772496512,0.6545643772496512,Cebuella_pygmaea,Monogamous,Cebuella pygmaea
30,36,Cebus_albifrons_ssp,237.4115112062303,130.3738612836439,0.28819521410987103,0.002374115112062303,0.001303738612836439,0.5491471774946629,0.5491471774946629,Cebus_albifrons,,Cebus albifrons
31,37,Cebus_imitator_ssp,63.811758337844026,23.62241200828157,0.769753326638998,0.0006381175833784403,0.00023622412008281573,0.3701890156860343,0.3701890156860343,Cebus_imitator,Polygynous,Cebus imitator
32,38,Cebus_olivaceus_ssp,143.01675543719483,71.46425796425797,0.45359168025313007,0.0014301675543719483,0.0007146425796425796,0.4996915063958445,0.4996915063958445,Cebus_olivaceus,,Cebus olivaceus
33,39,Cebus_unicolor_ssp,214.81850821849577,137.71405279503105,0.29660938068716713,0.0021481850821849576,0.0013771405279503104,0.6410716373421587,0.6410716373421587,Cebus_unicolor,,Cebus unicolor
34,41,Cercocebus_atys_ssp,206.99151749059607,92.43374418487883,0.4052293732312234,0.0020699151749059607,0.0009243374418487884,0.4465581261757658,0.4465581261757658,Cercocebus_atys,Polygynandrous,Cercocebus atys
35,42,Cercocebus_chrysogaster_ssp,161.050061829351,51.009643916913944,0.8614940746228592,0.0016105006182935099,0.0005100964391691395,0.31673160095376973,0.31673160095376973,Cercocebus_chrysogaster,Polygynandrous,Cercocebus chrysogaster
36,45,Cercopithecus_ascanius_ssp,669.0760462776659,404.4697339847991,0.3151397060924131,0.0066907604627766595,0.004044697339847991,0.604519824368282,0.604519824368282,Cercopithecus_ascanius,Polygynous,Cercopithecus ascanius
37,46,Cercopithecus_campbelli_ssp,461.2472832002143,196.69748580697487,0.3227145654115281,0.004612472832002144,0.0019669748580697487,0.42644692548052165,0.42644692548052165,Cercopithecus_campbelli,Polygynous,Cercopithecus campbelli
38,47,Cercopithecus_cephus_ssp,666.9548956445875,414.3547948926922,0.3201878591618442,0.006669548956445875,0.004143547948926922,0.6212635930833575,0.6212635930833575,Cercopithecus_cephus,Polygynous,Cercopithecus cephus
39,48,Cercopithecus_denti_ssp,266.98067038357857,132.1153430578066,0.4536498126396625,0.0026698067038357855,0.001321153430578066,0.4948498438781834,0.4948498438781834,Cercopithecus_denti,Polygynous,Cercopithecus denti
40,50,Cercopithecus_hamlyni_ssp,414.20058907683244,242.23051681706318,0.35636367556026755,0.004142005890768324,0.002422305168170632,0.5848145154910208,0.5848145154910208,Cercopithecus_hamlyni,Polygynous,Cercopithecus hamlyni
41,51,Cercopithecus_mitis_ssp,486.0796356764172,229.79124932687128,0.3141847719905661,0.004860796356764172,0.002297912493268713,0.4727440371105016,0.4727440371105016,Cercopithecus_mitis,Polygynous,Cercopithecus mitis
42,52,Cercopithecus_mona_ssp,333.0462918319856,194.30369531552458,0.3920005138145047,0.003330462918319856,0.0019430369531552457,0.5834134775881139,0.5834134775881139,Cercopithecus_mona,Polygynous,Cercopithecus mona
43,53,Cercopithecus_neglectus_ssp,212.12997824631861,121.17063166529942,0.48381337707014155,0.0021212997824631864,0.0012117063166529943,0.5712093720417013,0.5712093720417013,Cercopithecus_neglectus,Polygynous,Cercopithecus neglectus
44,54,Cercopithecus_nictitans_ssp,427.606803710203,236.13181448331977,0.39324852276060157,0.00427606803710203,0.002361318144833198,0.5522171593961602,0.5522171593961602,Cercopithecus_nictitans,Polygynous,Cercopithecus nictitans
45,56,Cercopithecus_pogonias_ssp,365.15278895146156,203.7644661776691,0.43667061187090533,0.0036515278895146155,0.002037644661776691,0.5580252221618791,0.5580252221618791,Cercopithecus_pogonias,Polygynous,Cercopithecus pogonias
46,57,Cercopithecus_roloway_ssp,390.44173112897516,199.14684167350288,0.45921605730865445,0.0039044173112897517,0.0019914684167350286,0.5100552164279756,0.5100552164279756,Cercopithecus_roloway,Polygynous,Cercopithecus roloway
47,58,Cercopithecus_wolfi_ssp,252.6870363858609,124.59713203463203,0.45829718996753027,0.002526870363858609,0.0012459713203463202,0.4930887386101136,0.4930887386101136,Cercopithecus_wolfi,Polygynous,Cercopithecus wolfi
48,59,Cheirogaleus_major_ssp,472.1262325390304,239.87459807073955,0.40956585855163236,0.0047212623253903045,0.0023987459807073954,0.508073014246056,0.508073014246056,Cheirogaleus_major,,Cheirogaleus major
49,60,Cheirogaleus_medius_ssp,115.06741007925218,36.052590511860174,0.885188195484353,0.0011506741007925219,0.00036052590511860175,0.3133171285164853,0.3133171285164853,Cheirogaleus_medius,,Cheirogaleus medius
