ID_PGDP,ID,species,relatives,remove_as_relative,remove_as_duplicate
PD_0730,SAMEA112483197,anubis,SAMEA112483198,False,False
PD_0731,SAMEA112483198,anubis,SAMEA112483197,True,False
PD_0734,SAMEA112483201,anubis,SAMEA112483203; SAMEA112483206; SAMEA112483207; SAMEA112483211,True,False
PD_0736,SAMEA112483203,anubis,SAMEA112483201,False,False
PD_0739,SAMEA112483206,anubis,SAMEA112483201,False,False
PD_0740,SAMEA112483207,anubis,SAMEA112483201,False,False
PD_0744,SAMEA112483211,anubis,SAMEA112483201,False,False
PD_0771,SAMEA112483238,cynocephalus,SAMN20814897,False,False
PD_0703,SAMEA112483170,hamadryas,SAMEA112483176,True,False
PD_0709,SAMEA112483176,hamadryas,SAMEA112483170,False,False
PD_0749,SAMEA112483216,kindae,SAMEA112483255,False,False
PD_0758,SAMEA112483225,kindae,SAMEA112483258,False,False
PD_0788,SAMEA112483255,kindae,SAMEA112483216,True,False
PD_0791,SAMEA112483258,kindae,SAMEA112483225,True,False
PD_0392,SAMEA112483030,papio,SAMEA112483035; SAMEA112483036,True,False
PD_0397,SAMEA112483035,papio,SAMEA112483030,False,False
PD_0398,SAMEA112483036,papio,SAMEA112483030,False,False
