chrom	length	end_pos	chr_type	species	reference
NC_060925.1	170242379	248367473	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060926.1	184101076	242614027	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060927.1	154190501	201091448	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060928.1	143425926	193335817	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060929.1	136857530	181829271	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060930.1	130316395	172088286	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060931.1	113136493	160562076	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060932.1	110666756	146233131	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060933.1	84361409	150418452	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060934.1	97787672	134553813	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060935.1	96108779	134988915	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060936.1	99962892	133316840	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060937.1	72650209	113550112	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060938.1	68639047	101129841	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060939.1	59881480	99716441	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060940.1	55503251	96173532	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060941.1	55553848	84239663	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060942.1	57399264	80533414	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060943.1	33235721	61683232	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060944.1	46766844	66166051	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060945.1	25142355	45059916	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060946.1	22777720	51297094	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060947.1	97104521	154132917	chrX	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060948.1	47990	27437274	aut	Pygathrix_nigripes_ssp	Homo_sapiens_ssp
NC_060925.1	137990771	248359601	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060926.1	152465520	242630205	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060927.1	125294402	201091448	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060928.1	116541265	193335816	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060929.1	111385182	181844881	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060930.1	104548511	171965863	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060931.1	93141457	160562076	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060932.1	91289825	146253369	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060933.1	70006023	150418452	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060934.1	71986685	134553813	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060935.1	79351772	135051764	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060936.1	81126310	133316840	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060937.1	57498222	113551202	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060938.1	56368567	101130040	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060939.1	50300054	99561963	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060940.1	43762107	96173591	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060941.1	45333031	84235735	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060942.1	47374892	80532650	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060943.1	21792112	61683086	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060944.1	29125776	66168714	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060945.1	18038475	45059916	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060946.1	17478745	51283084	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060947.1	90388766	154219366	chrX	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060948.1	26683	27431812	aut	Cercopithecus_pogonias_ssp	Homo_sapiens_ssp
NC_060925.1	91161501	248332092	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060926.1	103763402	242364498	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060927.1	82363383	201092431	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060928.1	61342833	193324911	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060929.1	72010213	181824078	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060930.1	72309338	172085361	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060931.1	59863477	159849097	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060932.1	56817515	146178697	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060933.1	46870199	150410284	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060934.1	50368499	134553038	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060935.1	53729639	135116996	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060936.1	50407977	133133224	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060937.1	39810334	113540085	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060938.1	36734176	100133648	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060939.1	33178048	99743089	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060940.1	27618035	96150646	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060941.1	28433644	84227742	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060942.1	31023494	80524055	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060943.1	9168169	61675724	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060944.1	24967216	66168714	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060945.1	13102606	45058319	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060946.1	9931093	51286974	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060947.1	42007402	154003805	chrX	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060948.1	4313	62107309	aut	Microcebus_griseorufus_ssp	Homo_sapiens_ssp
NC_060925.1	176073029	248367473	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060926.1	189723465	242630205	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060927.1	158737224	201091448	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060928.1	147890336	193335817	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060929.1	140726163	182015715	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060930.1	134224746	172088286	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060931.1	116552077	160556891	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060932.1	114171524	146233131	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060933.1	87037507	150418452	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060934.1	101297575	134553813	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060935.1	99437856	135034796	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060936.1	103525588	133316840	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060937.1	75549765	113550112	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060938.1	70544045	101129841	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060939.1	62090178	99717480	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060940.1	57801220	96173591	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060941.1	57886241	84239663	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060942.1	59777780	80533414	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060943.1	34825603	61683242	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060944.1	48398218	66166051	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060945.1	25632835	45059916	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060946.1	23980104	51297094	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060947.1	102352144	154132917	chrX	Nasalis_larvatus_ssp	Homo_sapiens_ssp
NC_060948.1	51046	27437274	aut	Nasalis_larvatus_ssp	Homo_sapiens_ssp
