chrom	length	end_pos	chr_type	species	reference
NC_044549.1	185331442	206549526	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044550.1	169439190	195393606	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044551.1	161867271	185514143	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044552.1	153855296	178832108	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044553.1	151346452	177538706	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044554.1	135908420	156482278	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044555.1	128980433	154515572	chrX	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044556.1	128281167	145675537	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044557.1	128022119	144453613	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044558.1	120498776	142939458	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044559.1	116134419	141071265	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044560.1	114671949	136667802	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044561.1	115750619	135002716	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044562.1	118106631	135227366	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044563.1	113636269	130823600	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044564.1	100963075	118270634	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044565.1	100815130	116890019	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044566.1	87703338	99579134	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044567.1	69301367	83011449	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044568.1	67388774	82100074	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
NC_044569.1	66298331	80791010	aut	Pygathrix_nigripes_ssp	Rhinopithecus_roxellana_ssp
CM053363.1	83191327	88008964	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053364.1	82372302	87835033	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053365.1	81534067	86538762	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053366.1	80362840	85401702	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053367.1	71307944	75414045	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053368.1	67104811	71073195	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053369.1	66319189	70447662	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053370.1	65335622	69626206	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053371.1	64638860	68943434	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053372.1	62165405	66677163	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053373.1	62639171	66609701	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053374.1	62764231	66426820	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053375.1	60498561	64686970	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053376.1	54515896	59318106	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053377.1	55722725	59089938	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053378.1	54838812	58491486	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053379.1	54367729	58039324	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053380.1	54269035	57544751	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053381.1	54297060	57434520	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053382.1	52295867	56386800	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053383.1	50307161	53007155	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053384.1	48265048	51119100	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053385.1	47353598	50681121	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053386.1	47668797	50374097	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053387.1	47533552	50317723	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053388.1	46317602	49103650	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053389.1	41881750	44586162	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053390.1	41253907	43730520	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053391.1	38370180	41280387	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053392.1	39041893	41208179	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053393.1	36677944	39221679	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053394.1	34058180	36185023	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053395.1	28779827	32560858	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053396.1	21664261	23901470	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053397.1	20234728	21946587	aut	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
CM053398.1	115523288	124140859	chrX	Cercopithecus_pogonias_ssp	Cercopithecus_mitis_ssp
