ID,ID_PGDP,group,family,genus,species,subspecies,species_full,species_short,species_genotyping,reference,SEX,len_chrA,len_chrA_contigs_shorter_than_1Mb,len_chrX,len_chrX_contigs_shorter_than_1Mb,len_chrY,len_chrY_contigs_shorter_than_1Mb,total_seq_chrA,total_seq_chrX,total_seq_chrY,len_cov_chrA,len_cov_chrX,len_cov_chrY,frac_cov_chrA,frac_cov_chrX,frac_cov_chrY,frac_cov_gw,rel_frac_cov_YX,nonN_frac,frac_cov_gw_cor,threshold,threshold_chrX,good_frac_cov,cov_chrA,cov_chrX,cov_chrY,cov_gw,rel_cov_chrX,gSEX,gSEX_source,callable_chrA,callable_chrX,GT00_chrA,GT01_chrA,GT11_chrA,GTmis_chrA,GT00_chrX,GT0_chrX,GT01_chrX,GT11_chrX,GT1_chrX,GTmis_chrX,het_chrA,het_chrX,rel_chrX_het,hom_alt_chrA,hom_alt_chrX,hem_alt_chrX,rel_chrX_hom_alt,mis_chrA,mis_chrX,div_chrA,clade,subclade_split,sample_used_for_q,q25_div_chrA,q50_div_chrA,q75_div_chrA,q25_frac_cov_chrA,q50_frac_cov_chrA,q75_frac_cov_chrA,zscore_div_chrA,zscore_frac_cov_chrA,dupl_group,remove_as_duplicate,low_mis,low_frac_cov_qc,high_div_chrA_qc,high_mis_qc,low_div_chrA_qc,masterQC,manual_fix,reason,finalQC,Kuderna_AB_QC,Kuderna_COV_QC,relatives,remove_as_relative,generation,founder,remove_manual,pedigree_source,MQ1kb,MQ1Mb,total_reads,mapped_reads,properly_paired_reads,f_mapped_reads
PD_0001,PD_0001,PLA,Pitheciidae,Cheracebus,lugens,ssp,Cheracebus_lugens_ssp,C.lugens_ssp,Cheracebus_lugens_ssp,Plecturocebus_cupreus,F,2576390260,50174438.0,137505134.0,0.0,,,93937256158.0,4861983141.0,,2508929152,131136851.0,,0.9738,0.9537,,0.9728,,1.0,0.9728,0.9,0.9,True,37.4412,37.0756,,37.423,0.9902,F,chrX,2273734688,116976413.0,8123010,2404646,51466011,1124799,274376.0,,63870.0,2315029.0,,57960.0,0.0010576,0.000546,0.5162823,0.022635,0.0197906,,0.8743341,0.0004947,0.0004955,0.0231638,Plecturocebus_cupreus_ssp5,0.0,True,0.023116,0.0231807,0.0232222,0.9728,0.9731,0.9737,-0.1588,0.8235,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.2727,55.9201,762639184,706473385,664343790,0.926
PD_0003,PD_0003,PLA,Pitheciidae,Cacajao,hosomi,ssp,Cacajao_hosomi_ssp,C.hosomi_ssp,Cacajao_hosomi_ssp,Pithecia_pithecia,M,2273371232,254300594.0,129401584.0,0.0,,,77503965075.0,2656088413.0,,2220052851,124502708.0,,0.9765,0.9621,,0.9758,,0.993,0.9827,0.9,0.9,True,34.9109,21.3336,,34.1899,0.6111,M,chrX,2059390099,112582602.0,1004975,1677700,53510383,731174,,33100.0,,,2523577.0,6553.0,0.0008147,,,0.0259836,,0.0224153,,0.000355,5.82e-05,0.0263909,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,0.0941,-0.625,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.4203,57.0258,665609454,616499960,561175482,0.926
PD_0004,PD_0004,PLA,Atelidae,Ateles,belzebuth,ssp,Ateles_belzebuth_ssp,A.belzebuth_ssp,Ateles_belzebuth_ssp,Ateles_hybridus,F,2466757282,39003866.0,137420414.0,0.0,,,93937339231.0,5285501154.0,,2453711396,136666824.0,,0.9947,0.9945,,0.9947,,1.0,0.9947,0.9,0.9,True,38.2838,38.6744,,38.3044,1.0102,F,chrX,2284641869,126445385.0,3465920,6305889,13539399,402345,115920.0,,218140.0,577875.0,,17775.0,0.0027601,0.0017252,0.6250347,0.0059263,0.0045702,,0.7711692,0.0001761,0.0001406,0.0073063,Ateles_hybridus_ssp2,0.0,True,0.0073104,0.0073316,0.0073435,0.9943,0.9946,0.995,-0.7653,0.1333,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,57.8499,58.1431,757157434,710867252,675134778,0.939
PD_0005,PD_0005,PLA,Atelidae,Alouatta,macconnelli,ssp,Alouatta_macconnelli_ssp,A.macconnelli_ssp,Alouatta_macconnelli_ssp,Ateles_hybridus,M,2466757282,39003866.0,137420414.0,0.0,,,80791622499.0,2629067410.0,,2381596316,129982210.0,,0.9655,0.9459,,0.9644,,1.0,0.9644,0.9,0.9,True,33.9233,20.2264,,33.2144,0.5962,M,chrX,1954443248,106946935.0,6207521,4715663,66503014,2262944,,274025.0,,,3258991.0,42867.0,0.0024128,,,0.0340266,,0.030473,,0.0011578,0.0004008,0.035233,Ateles_hybridus_ssp4,0.0,True,0.0351737,0.0352615,0.0353345,0.9628,0.964,0.9644,-0.1773,0.8824,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,53.7963,54.2045,727760216,617564530,536924828,0.849
PD_0006,PD_0006,PLA,Pitheciidae,Chiropotes,israelita,ssp,Chiropotes_israelita_ssp,C.israelita_ssp,Chiropotes_israelita_ssp,Pithecia_pithecia,F,2273371232,254300594.0,129401584.0,0.0,,,79867401816.0,4571673745.0,,2217948770,124868418.0,,0.9756,0.965,,0.975,,0.993,0.9819,0.9,0.9,True,36.0096,36.6119,,36.0417,1.0167,F,chrX,2062832821,115998472.0,2897040,3097849,54411566,1015112,111657.0,,125582.0,2613506.0,,59960.0,0.0015017,0.0010826,0.7209065,0.0263771,0.0225305,,0.8541695,0.0004921,0.0005169,0.027128,Pithecia_pithecia_ssp5,0.0,True,0.0270993,0.0271507,0.0271773,0.975,0.9753,0.9756,-0.2915,0.3846,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.6046,57.2203,697499082,647540493,594010890,0.928
PD_0007,PD_0007,PLA,Cebidae,Cebus,olivaceus,ssp,Cebus_olivaceus_ssp,C.olivaceus_ssp,Cebus_olivaceus_ssp,Sapajus_apella,F,2452389081,144444752.0,132260112.0,0.0,,,83227258225.0,4516151812.0,,2413001079,130006484.0,,0.9839,0.983,,0.9839,,0.9869,0.997,0.9,0.9,True,34.4912,34.7379,,34.5038,1.0072,F,chrX,2296651100,122886002.0,2130870,3575018,27140907,437948,55119.0,,91892.0,1168011.0,,20246.0,0.0015566,0.0007478,0.4803879,0.0118176,0.0095048,,0.8042947,0.0001907,0.0001648,0.0125959,Sapajus_apella_ssp2,0.0,True,0.0125756,0.0125817,0.0125959,0.9837,0.9839,0.9842,0.6989,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,56.5224,57.6986,709063288,685169320,650827958,0.966
PD_0008,PD_0008,PLA,Aotidae,Aotus,trivirgatus,ssp,Aotus_trivirgatus_ssp,A.trivirgatus_ssp,Aotus_trivirgatus_ssp,Aotus_nancymaae,F,2808119848,149206485.0,140576249.0,0.0,,,108000000000.0,5384168566.0,,2685060693,138097913.0,,0.9562,0.9824,,0.9574,,1.0,0.9574,0.9,0.9,True,40.0588,38.9881,,40.0064,0.9733,F,chrX,2383336083,127555714.0,0,2750121,16532910,217658,0.0,,54820.0,716977.0,,9982.0,0.0011539,0.0004298,0.372454,0.0069369,0.0056209,,0.8102915,9.13e-05,7.83e-05,0.0075138,Aotus_nancymaae_ssp3,0.0,True,0.0075138,0.0075138,0.0075138,0.9562,0.9562,0.9562,0.0,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,50.2252,52.6081,818923396,803118664,782057586,0.981
PD_0009,PD_0009,PLA,Callitrichidae,Saguinus,inustus,ssp,Saguinus_inustus_ssp,S.inustus_ssp,Saguinus_inustus_ssp,Saguinus_oedipus,M,2999414907,58978488.0,148490208.0,0.0,33314307.0,0.0,97847339181.0,2870743085.0,374010323.0,2822348337,144340788.0,18266085.0,0.941,0.9721,0.5483,0.9383,0.5641,1.0,0.9383,0.9,0.9,True,34.6688,19.8886,20.4757,33.8672,0.5737,M,chrX,2365617845,115837570.0,0,1606247,33745096,782852,,0.0,,,1434092.0,0.0,0.000679,,,0.0142648,,0.0123802,,0.0003309,0.0,0.0146043,Saguinus_oedipus_ssp4,0.0,True,0.0144968,0.0145387,0.0145943,0.9402,0.9414,0.9428,0.6728,-0.1584,,False,True,ok,ok,ok,ok,ok,,,ok,FAIL,PASS,,,,,,,49.1973,50.0743,745730678,713732039,673462366,0.957
PD_0010,PD_0010,PLA,Callitrichidae,Cebuella,niveiventris,ssp,Cebuella_niveiventris_ssp,C.niveiventris_ssp,Cebuella_niveiventris_ssp,Callithrix_jacchus,F,2652950115,60671861.0,146897246.0,497538.0,7079389.0,6768351.0,97875181284.0,4997705562.0,356452840.0,2602193322,140864044.0,3973801.0,0.9809,0.9589,0.5613,0.9787,0.5854,0.9952,0.9834,0.9,0.9,True,37.6126,35.4789,89.7007,37.5785,0.9433,F,chrX,2393248398,125955779.0,3617931,2030432,31919190,672392,122372.0,,47358.0,1420756.0,,25477.0,0.0008484,0.000376,0.4431743,0.0133372,0.0112798,,0.8457409,0.000281,0.0002023,0.0137614,Callithrix_jacchus_ssp5,0.0,True,0.0137589,0.0137921,0.013832,0.9803,0.9806,0.9812,-0.4196,0.2857,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,54.1506,55.2178,760168132,732115007,699395254,0.963
PD_0011,PD_0011,PLA,Cebidae,Sapajus,apella,macrocephalus,Sapajus_apella_macrocephalus,S.apella_macrocephalus,Sapajus_apella_ssp,Sapajus_apella,F,2452389081,144444752.0,132260112.0,0.0,,,88957345300.0,4839999814.0,,2424632669,130934174.0,,0.9887,0.99,,0.9887,,0.9869,1.0018,0.9,0.9,True,36.689,36.9651,,36.7031,1.0075,F,chrX,2404876747,129477619.0,11803458,2727304,2231724,291095,251027.0,,45624.0,43969.0,,7873.0,0.0011341,0.0003524,0.3107119,0.000928,0.0003396,,0.3659352,0.000121,6.08e-05,0.001495,Sapajus_apella_ssp1,0.0,True,0.0015846,0.001767,0.0021115,0.9885,0.9887,0.9887,-0.5162,0.0,PD_0011,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,57.9308,58.8961,743766048,736334735,715336386,0.99
PD_0012,PD_0012,PLA,Cebidae,Saimiri,ustus,ssp,Saimiri_ustus_ssp,S.ustus_ssp,Saimiri_ustus_ssp,Saimiri_boliviensis,Unknown,2480107826,35043139.0,135661648.0,0.0,,,86412118544.0,4777946625.0,,2458996515,134394154.0,,0.9915,0.9907,,0.9914,,0.9956,0.9958,0.9,0.9,True,35.1412,35.5517,,35.1625,1.0117,F,chrX,2389893663,128495960.0,9929214,2347451,11375423,592349,259201.0,,58759.0,503563.0,,22917.0,0.0009822,0.0004573,0.4655507,0.0047598,0.0039189,,0.8233327,0.0002479,0.0001783,0.0052509,Saimiri_boliviensis_boliviensis3,0.0,True,0.0052429,0.0052516,0.0052925,0.9912,0.9915,0.9916,-0.0136,0.0,PD_0369,True,True,ok,ok,ok,ok,ok,,,fail,,,,,,,,,57.4231,57.9132,660436008,647269898,628579138,0.98
PD_0013,PD_0013,PLA,Cebidae,Cebus,unicolor,ssp,Cebus_unicolor_ssp,C.unicolor_ssp,Cebus_unicolor_ssp,Sapajus_apella,F,2452389081,144444752.0,132260112.0,0.0,,,83236958552.0,4303225066.0,,2413244128,130103330.0,,0.984,0.9837,,0.984,,0.9869,0.9971,0.9,0.9,True,34.4917,33.0754,,34.4193,0.9589,F,chrX,2311568691,123589135.0,8340733,3815172,27134858,708726,253296.0,,114061.0,1160342.0,,28634.0,0.0016505,0.0009229,0.5591773,0.0117387,0.0093887,,0.7998066,0.0003066,0.0002317,0.012564,Sapajus_apella_ssp2,0.0,True,0.0125756,0.0125817,0.0125959,0.9837,0.9839,0.9842,-0.8727,0.2,,False,True,ok,ok,ok,ok,ok,,,ok,PASS,WARN,,,,,,,56.2567,57.4108,722716928,697917170,660958994,0.966
PD_0014,PD_0014,PLA,Pitheciidae,Plecturocebus,cupreus,ssp,Plecturocebus_cupreus_ssp,P.cupreus_ssp,Plecturocebus_cupreus_ssp,Plecturocebus_cupreus,F,2576390260,50174438.0,137505134.0,0.0,,,92538455082.0,4907666425.0,,2561383532,135158318.0,,0.9942,0.9829,,0.9936,,1.0,0.9936,0.9,0.9,True,36.1283,36.3105,,36.1374,1.005,F,chrX,2499650431,129093474.0,8995026,4553246,3526143,383202,232004.0,,135671.0,140700.0,,12901.0,0.0018216,0.001051,0.5769536,0.0014107,0.0010899,,0.7726257,0.0001533,9.99e-05,0.0023214,Plecturocebus_cupreus_ssp1,0.0,True,0.0023224,0.002347,0.0023488,0.994,0.9941,0.9942,-0.9687,0.5,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,57.1423,57.6361,728685962,721804487,711246462,0.991
PD_0015,PD_0015,PLA,Pitheciidae,Pithecia,vanzolinii,ssp,Pithecia_vanzolinii_ssp,P.vanzolinii_ssp,Pithecia_vanzolinii_ssp,Pithecia_pithecia,M,2273371232,254300594.0,129401584.0,0.0,,,83486795166.0,2423319651.0,,2249346813,128012142.0,,0.9894,0.9893,,0.9894,,0.993,0.9964,0.9,0.9,True,37.116,18.9304,,36.1368,0.51,M,chrX,2168536849,120439224.0,0,3209104,13506469,218736,,0.0,,,639846.0,0.0,0.0014798,,,0.0062284,,0.0053126,,0.0001009,0.0,0.0069683,Pithecia_pithecia_ssp3,0.0,True,0.0069837,0.0070019,0.007003,0.9894,0.9894,0.9894,-1.7415,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,56.6797,58.0591,695722820,676489596,639185722,0.972
PD_0016,PD_0016,PLA,Atelidae,Lagothrix,lagotricha,ssp,Lagothrix_lagotricha_ssp,L.lagotricha_ssp,Lagothrix_lagotricha_ssp,Ateles_hybridus,M,2466757282,39003866.0,137420414.0,0.0,,,87136845009.0,2720480154.0,,2415273270,133572350.0,,0.9791,0.972,,0.9788,,1.0,0.9788,0.9,0.9,True,36.0774,20.3671,,35.2541,0.5645,M,chrX,2102014838,112975898.0,0,2969515,49638450,506608,,0.0,,,2211056.0,0.0,0.0014127,,,0.0236147,,0.019571,,0.000241,0.0,0.024321,Ateles_hybridus_ssp3,0.0,True,0.0241416,0.0242014,0.0242612,0.9789,0.979,0.979,1.0,1.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.8689,56.2638,708647042,632825267,563015046,0.893
PD_0017,PD_0017,PLA,Callitrichidae,Leontocebus,nigricollis,ssp,Leontocebus_nigricollis_ssp,L.nigricollis_ssp,Leontocebus_nigricollis_ssp,Saguinus_oedipus,F,2999414907,58978488.0,148490208.0,0.0,33314307.0,0.0,92827894813.0,4475708960.0,64470769.0,2791654170,143469427.0,4594544.0,0.9307,0.9662,0.1379,0.9241,0.1427,1.0,0.9241,0.9,0.9,True,33.2519,31.1963,14.032,33.1216,0.9382,F,chrX,2314257470,120626232.0,0,4203864,35459638,713683,0.0,,99369.0,1630349.0,,24712.0,0.0018165,0.0008238,0.4534947,0.0153223,0.0135157,,0.8820967,0.0003084,0.0002049,0.0162305,Saguinus_oedipus_ssp5,0.0,True,0.0161137,0.0162168,0.0162305,0.9291,0.9307,0.931,0.1173,0.0,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,49.0043,49.8834,708966924,671503172,614741346,0.947
PD_0018,PD_0018,PLA,Pitheciidae,Cacajao,melanocephalus,ssp,Cacajao_melanocephalus_ssp,C.melanocephalus_ssp,Cacajao_melanocephalus_ssp,Pithecia_pithecia,M,2273371232,254300594.0,129401584.0,0.0,,,88460958391.0,2771757742.0,,2220565725,124531388.0,,0.9768,0.9624,,0.976,,0.993,0.9829,0.9,0.9,True,39.8371,22.2575,,38.9036,0.5587,M,chrX,2065940007,115701429.0,1180248,2034944,53598703,729926,,88920.0,,,2605674.0,9665.0,0.000985,,,0.025944,,0.0225207,,0.0003533,8.35e-05,0.0264365,Pithecia_pithecia_ssp4,0.0,True,0.026349,0.0263863,0.0263984,0.9765,0.9768,0.9769,1.0144,0.125,,False,True,ok,ok,ok,ok,ok,,,ok,,,,,,,,,55.5603,57.1424,757827796,704861573,653707838,0.93
